post_id,title,slug,link,date,modified,featured_media,featured_url,featured_reuse_count,featured_needs_replacement,total_body_images,fixed_body_images,article_specific_body_images,article_image_ids,article_image_urls,body_images_to_add_for_target_3,h2_count,screenPageViews_12m,activeUsers_12m,sessions_12m,engagedSessions_12m,screenPageViews_90d,activeUsers_90d,sessions_90d,engagedSessions_90d,gsc_clicks_12m,gsc_impressions_12m,gsc_ctr_12m,gsc_position_12m,gsc_clicks_90d,gsc_impressions_90d,gsc_ctr_90d,gsc_position_90d,recent_pace_index,access_rank,top_search_queries_12m,recommended_image_action
976,【脊柱側弯症手術後の痛み – 半数以上が経験する長期的な苦痛への理解を深める】,%e3%80%90%e8%84%8a%e6%9f%b1%e5%81%b4%e5%bc%af%e7%97%87%e6%89%8b%e8%a1%93%e5%be%8c%e3%81%ae%e7%97%9b%e3%81%bf-%e5%8d%8a%e6%95%b0%e4%bb%a5%e4%b8%8a%e3%81%8c%e7%b5%8c%e9%a8%93%e3%81%99%e3%82%8b,https://physical-balance-lab.com/976/,2024-09-24T11:34:25,2026-07-17T20:44:38,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,2,0,,,3,9,1570.0,1247.0,1445.0,939.0,495.0,409.0,461.0,302.0,876.0,14263.0,0.06141765406997125,7.959335343195681,279.0,5240.0,0.0532442748091603,7.8351145038167935,1.2786624203821655,1,側 弯症 手術後 痛み いつまで（29クリック） / 側 弯症 手術後 できない こと（25クリック） / 側弯症 術後 痛み（21クリック） / 側弯症 手術 痛み（11クリック） / 側弯症 手術後 痛み いつまで（8クリック）,記事別アイキャッチへ差し替え + 本文画像を3枚追加
965,側弯症の装具4種類を解説！ミルウォーキー・ボストン・シュロスの違いと選び方,%e3%80%90%e8%84%8a%e6%9f%b1%e5%81%b4%e5%bc%af%e7%97%87%e3%81%ae%e8%a3%85%e5%85%b7%e6%b2%bb%e7%99%82%e3%80%81%e7%a8%ae%e9%a1%9e%e3%81%a8%e9%81%b8%e3%81%b3%e6%96%b9%e3%81%ae%e3%83%9d%e3%82%a4%e3%83%b3,https://physical-balance-lab.com/965/,2024-09-13T16:52:54,2026-07-17T20:44:40,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,6,2,4,"966,967,968,969",https://physical-balance-lab.com/wp/wp-content/uploads/2024/09/224_Set-300x232.jpg | https://physical-balance-lab.com/wp/wp-content/uploads/2024/09/Monica_2024-09-13_13-35-29-300x176.png | https://physical-balance-lab.com/wp/wp-content/uploads/2024/09/IMG_1981-e1576659235469.jpg | https://physical-balance-lab.com/wp/wp-content/uploads/2024/09/プレーリーくん２-224x300.webp,0,7,889.0,683.0,752.0,401.0,210.0,147.0,169.0,113.0,109.0,11801.0,0.009236505380899923,3.0483009914414034,33.0,2741.0,0.012039401678219628,3.916818679314119,0.9580052493438321,2,ミルウォーキー装具（7クリック） / 側弯症 装具 種類（5クリック） / ボストンブレース（3クリック） / ミルウォーキー 装具（3クリック） / 側 弯症 装具 種類（3クリック）,記事別アイキャッチへ差し替え + 既存本文画像を目視確認
441,【パルス電磁場療法（PEMF）の概要と解説】,%e3%80%90%e3%83%91%e3%83%ab%e3%82%b9%e9%9b%bb%e7%a3%81%e5%a0%b4%e7%99%82%e6%b3%95%ef%bc%88pemf%ef%bc%89%e3%81%ae%e6%a6%82%e8%a6%81%e3%81%a8%e8%a7%a3%e8%aa%ac%e3%80%91,https://physical-balance-lab.com/441/,2024-04-18T15:23:27,2024-11-09T16:52:47,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,2,0,,,3,4,838.0,596.0,678.0,415.0,123.0,94.0,104.0,63.0,274.0,13067.0,0.020968852835386853,7.717150072702227,49.0,2323.0,0.021093413689195005,7.794662074903142,0.595266507557677,3,pemfとは（34クリック） / パルス電磁場とは（29クリック） / pemf（20クリック） / pemf 治療（16クリック） / pemf療法（12クリック）,記事別アイキャッチへ差し替え + 本文画像を3枚追加
1176,【側弯症解説シリーズ】第5回：意外と知らない！脊柱側弯症と股関節・骨盤の密接な関係！,%e3%80%90%e5%81%b4%e5%bc%af%e7%97%87%e8%a7%a3%e8%aa%ac%e3%82%b7%e3%83%aa%e3%83%bc%e3%82%ba%e3%80%91%e7%ac%ac5%e5%9b%9e%ef%bc%9a%e6%84%8f%e5%a4%96%e3%81%a8%e7%9f%a5%e3%82%89%e3%81%aa%e3%81%84%ef%bc%81,https://physical-balance-lab.com/1176/,2025-04-02T15:02:48,2025-04-02T15:03:20,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,3,2,1,1032,https://physical-balance-lab.com/wp/wp-content/uploads/2024/10/ImageFX-12.png,2,7,733.0,526.0,632.0,361.0,319.0,225.0,273.0,155.0,297.0,4067.0,0.07302680108187853,5.511679370543398,136.0,1692.0,0.08037825059101655,4.446808510638298,1.7649689252690617,4,側弯症 股関節の痛み（13クリック） / 側弯症 股関節痛（2クリック） / 側弯症 骨盤（1クリック） / 大腿筋膜張筋（0クリック） / 名古屋 名東区 整体 側弯症（0クリック）,記事別アイキャッチへ差し替え + 本文画像を2枚追加
1182,【側弯症解説シリーズ】第7回：脊柱側弯症で変わる歩き方と背中の筋肉の働き〜気づかない身体の変化と簡単改善法〜,%e3%80%90%e5%81%b4%e5%bc%af%e7%97%87%e8%a7%a3%e8%aa%ac%e3%82%b7%e3%83%aa%e3%83%bc%e3%82%ba%e3%80%91%e7%ac%ac7%e5%9b%9e%ef%bc%9a%e8%84%8a%e6%9f%b1%e5%81%b4%e5%bc%af%e7%97%87%e3%81%a7%e5%a4%89%e3%82%8f,https://physical-balance-lab.com/1182/,2025-04-18T17:43:26,2025-05-02T13:41:14,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,2,0,,,3,7,543.0,367.0,420.0,249.0,288.0,190.0,217.0,139.0,201.0,3941.0,0.05100228368434408,5.086780005074854,112.0,1792.0,0.0625,4.4453125,2.1510128913443833,5,側 弯症 歩行 特徴（18クリック） / 側弯症 歩き方（12クリック） / 側弯症 歩きにくい（2クリック） / 側弯症 ウォーキング（1クリック） / 側 弯症 歩行障害（1クリック）,記事別アイキャッチへ差し替え + 本文画像を3枚追加
1092,大人の脊柱側弯症、手術が必要なときって？―分かりやすく解説します,%e5%a4%a7%e4%ba%ba%e3%81%ae%e8%84%8a%e6%9f%b1%e5%81%b4%e5%bc%af%e7%97%87%e3%80%81%e6%89%8b%e8%a1%93%e3%81%8c%e5%bf%85%e8%a6%81%e3%81%aa%e3%81%a8%e3%81%8d%e3%81%a3%e3%81%a6%ef%bc%9f%e2%80%95%e5%88%86,https://physical-balance-lab.com/1092/,2024-11-26T15:25:13,2024-11-26T15:29:21,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,4,2,2,"844,1094",https://physical-balance-lab.com/wp/wp-content/uploads/2024/07/00000041.jpg | https://physical-balance-lab.com/wp/wp-content/uploads/2024/11/image_fx_-28.png,1,6,534.0,261.0,352.0,268.0,57.0,31.0,31.0,29.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.432896379525593,6,,記事別アイキャッチへ差し替え + 本文画像を1枚追加
1171,【側弯症解説シリーズ】第3回：脊柱を支える筋肉の秘密！側弯症で起こる筋肉の拘縮メカニズムとセルフケア！,%e3%80%90%e5%81%b4%e5%bc%af%e7%97%87%e8%a7%a3%e8%aa%ac%e3%82%b7%e3%83%aa%e3%83%bc%e3%82%ba%e3%80%91%e7%ac%ac3%e5%9b%9e%ef%bc%9a%e8%84%8a%e6%9f%b1%e3%82%92%e6%94%af%e3%81%88%e3%82%8b%e7%ad%8b%e8%82%89,https://physical-balance-lab.com/1171/,2025-03-24T15:35:53,2025-03-24T15:35:53,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,2,0,,,3,8,335.0,255.0,285.0,179.0,81.0,65.0,69.0,44.0,151.0,4195.0,0.03599523241954708,7.333492252681764,44.0,1097.0,0.040109389243391066,7.430264357338195,0.9805970149253731,7,側弯症 筋肉 バランス（4クリック） / 脊柱起立筋 左右差（1クリック） / 側弯症 筋肉（1クリック） / 側湾症 筋肉（1クリック） / 小胸筋（0クリック）,記事別アイキャッチへ差し替え + 本文画像を3枚追加
923,【腰痛：骨盤ベルトって本当に効果あるの？ 筋肉への影響とバランス能力向上について解説！】,%e3%80%90%e8%85%b0%e7%97%9b%ef%bc%9a%e9%aa%a8%e7%9b%a4%e3%83%99%e3%83%ab%e3%83%88%e3%81%a3%e3%81%a6%e6%9c%ac%e5%bd%93%e3%81%ab%e5%8a%b9%e6%9e%9c%e3%81%82%e3%82%8b%e3%81%ae%ef%bc%9f-%e7%ad%8b%e8%82%89,https://physical-balance-lab.com/923/,2024-08-21T12:12:16,2024-08-21T12:24:20,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,2,0,,,3,7,267.0,193.0,204.0,175.0,39.0,29.0,30.0,29.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5923845193508115,8,,記事別アイキャッチへ差し替え + 本文画像を3枚追加
1145,背中や腰の痛み…大人の脊柱側弯症ってどうすればいいの？楽になるケアと整体施術のヒミツ,%e8%83%8c%e4%b8%ad%e3%82%84%e8%85%b0%e3%81%ae%e7%97%9b%e3%81%bf%e5%a4%a7%e4%ba%ba%e3%81%ae%e8%84%8a%e6%9f%b1%e5%81%b4%e5%bc%af%e7%97%87%e3%81%a3%e3%81%a6%e3%81%a9%e3%81%86%e3%81%99%e3%82%8c,https://physical-balance-lab.com/1145/,2025-02-20T10:48:32,2025-02-20T10:48:32,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,4,3,1,1146,https://physical-balance-lab.com/wp/wp-content/uploads/2025/02/IMG_2372-e1740015784911.jpg,2,7,192.0,116.0,126.0,107.0,11.0,6.0,7.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.23234953703703706,9,,記事別アイキャッチへ差し替え + 本文画像を2枚追加
469,【脊柱側弯症の中学生のための治療法と注意点】,%e3%80%90%e8%84%8a%e6%9f%b1%e5%81%b4%e5%bc%af%e7%97%87%e3%81%ae%e4%b8%ad%e5%ad%a6%e7%94%9f%e3%81%ae%e3%81%9f%e3%82%81%e3%81%ae%e6%b2%bb%e7%99%82%e6%b3%95%e3%81%a8%e6%b3%a8%e6%84%8f%e7%82%b9%e3%80%91,https://physical-balance-lab.com/469/,2024-04-10T15:50:48,2024-05-23T15:07:03,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,3,2,1,534,https://physical-balance-lab.com/wp/wp-content/uploads/2024/04/脊柱側弯症①.png,2,3,191.0,108.0,115.0,108.0,72.0,41.0,43.0,42.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.5287958115183249,10,,記事別アイキャッチへ差し替え + 本文画像を2枚追加
